technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,detection_available,detection_notes,NIDS_Classification,NIDS_Reasoning,Network_Artifact
T1082,System Information Discovery,"An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Adversaries may use this information to shape follow-on behaviors, including whether or not the adversary fully infects the target and/...",discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows",9,4,5,High-Priority,74.8,"APT38, Carberp, Dridex, Dyre, Lazarus Group, Malteiro, QakBot, TrickBot, Wizard Spider","APT38, Lazarus Group, Malteiro, Wizard Spider","Carberp, Dridex, Dyre, QakBot, TrickBot",False,,NO,Local system information gathering,
T1027.002,Software Packing,Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable. Packing an executable changes the file signature in an attempt to avoid signature-based detection. Most decompression techni...,defense-evasion,"Linux, macOS, Windows",5,2,3,Common,73.0,"APT38, Dyre, QakBot, TA505, TrickBot","APT38, TA505","Dyre, QakBot, TrickBot",False,,NO,Software packing is local file operation,
T1543.003,Windows Service,"Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up, it starts programs or applications called services that perform background system functions.(Citation: TechNet Services) Windows service configuration information...","persistence, privilege-escalation",Windows,8,5,3,High-Priority,72.8,"APT38, Carbanak, Cobalt Group, Dyre, Lazarus Group, QakBot, TrickBot, Wizard Spider","APT38, Carbanak, Cobalt Group, Lazarus Group, Wizard Spider","Dyre, QakBot, TrickBot",False,,NO,Windows service creation is local,
T1055.001,Dynamic-link Library Injection,"Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges. DLL injection is a method of executing arbitrary code in the address space of a separate live process.  

DLL injection is commonly performed by writin...","defense-evasion, privilege-escalation",Windows,6,4,2,High-Priority,72.6,"Carberp, Dyre, Lazarus Group, Malteiro, TA505, Wizard Spider","Lazarus Group, Malteiro, TA505, Wizard Spider","Carberp, Dyre",False,,NO,DLL injection into local processes,
T1105,Ingress Tool Transfer,Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as [ftp](https://attack.mi...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",12,8,4,High-Priority,72.4,"APT38, Andariel, Carberp, Cobalt Group, Dyre, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Andariel, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505, Wizard Spider","Carberp, Dyre, QakBot, TrickBot",False,,YES,File transfer over network protocols,"HTTP/HTTPS, FTP, SMB traffic with file transfers"
T1071.001,Web Protocols,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",11,5,6,High-Priority,72.4,"APT38, Carbanak, Carberp, Cobalt Group, Dridex, Dyre, Lazarus Group, QakBot, TA505, TrickBot, Wizard Spider","APT38, Cobalt Group, Lazarus Group, TA505, Wizard Spider","Carbanak, Carberp, Dridex, Dyre, QakBot, TrickBot",False,,YES,C2 using HTTP/HTTPS web protocols,HTTP/HTTPS POST/GET requests to C2 servers
T1053.005,Scheduled Task,"Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The [schtasks](https://attack.mitre.org/software/S0111) utility can be run directly on the command line, ...","execution, persistence, privilege-escalation",Windows,9,5,4,High-Priority,71.67,"APT38, Cobalt Group, Dridex, Dyre, Lazarus Group, QakBot, Silence, TrickBot, Wizard Spider","APT38, Cobalt Group, Lazarus Group, Silence, Wizard Spider","Dridex, Dyre, QakBot, TrickBot",False,,NO,Scheduled task creation locally,
T1204.002,Malicious File,An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be subjected to social engineering to get them to open a file that will lead to code execution. This user action will typically be observed as follow-on behavior from [Spearphishing Attachment](https://a...,execution,"Linux, macOS, Windows",12,9,3,High-Priority,69.4,"APT38, Andariel, Cobalt Group, Dridex, Indrik Spider, Lazarus Group, Malteiro, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Andariel, Cobalt Group, Indrik Spider, Lazarus Group, Malteiro, Silence, TA505, Wizard Spider","Dridex, QakBot, TrickBot",False,,NO,User execution of malicious file locally,
T1059.001,PowerShell,"Adversaries may abuse PowerShell commands and scripts for execution. PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system.(Citation: TechNet PowerShell) Adversaries can use PowerShell to perform a number of actions, including ...",execution,Windows,9,7,2,High-Priority,69.4,"APT38, Cobalt Group, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505, Wizard Spider","QakBot, TrickBot",False,,NO,PowerShell execution on local host,
T1059.003,Windows Command Shell,"Adversaries may abuse the Windows command shell for execution. The Windows command shell ([cmd](https://attack.mitre.org/software/S0106)) is the primary command prompt on Windows systems. The Windows command prompt can be used to control almost any aspect of a system, with various permission levels ...",execution,Windows,10,7,3,High-Priority,69.4,"APT38, Carbanak, Cobalt Group, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505, Wizard Spider","Carbanak, QakBot, TrickBot",False,,NO,Command shell execution locally,
T1547.001,Registry Run Keys / Startup Folder,"Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in.(Citation: Microsoft Run Key) These programs...","persistence, privilege-escalation",Windows,8,4,4,High-Priority,68.8,"Carbanak, Carberp, Cobalt Group, Lazarus Group, QakBot, Silence, TrickBot, Wizard Spider","Cobalt Group, Lazarus Group, Silence, Wizard Spider","Carbanak, Carberp, QakBot, TrickBot",False,,NO,Registry run keys are local persistence,
T1036.004,Masquerade Task or Service,Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign. Tasks/services executed by the Task Scheduler or systemd will typically be given a name and/or description.(Citation: TechNet Schtasks)(Citation: Systemd Service Units) Windows services will h...,defense-evasion,"Linux, macOS, Windows",3,3,0,Medium,67.0,"Carbanak, Lazarus Group, Wizard Spider","Carbanak, Lazarus Group, Wizard Spider",,False,,NO,Service masquerading is local operation,
T1562.004,Disable or Modify System Firewall,"Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage. Changes could be disabling the entire mechanism as well as adding, deleting, or modifying particular rules. This can be done numerous ways depending on the operating system, including via command-l...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",3,3,0,Medium,67.0,"APT38, Carbanak, Lazarus Group","APT38, Carbanak, Lazarus Group",,False,,PARTIAL,"Firewall changes local, may block network detection",Sudden drop in expected network traffic patterns
T1057,Process Discovery,Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Administrator or otherwise elevated access may provide better process details. Adversarie...,discovery,"ESXi, Linux, macOS, Network Devices, Windows",7,3,4,High-Priority,65.8,"APT38, Andariel, Carbanak, Carberp, Lazarus Group, QakBot, TrickBot","APT38, Andariel, Lazarus Group","Carbanak, Carberp, QakBot, TrickBot",False,,NO,Local process enumeration,
T1566.001,Spearphishing Attachment,Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access to victim systems. Spearphishing attachment is a specific variant of spearphishing. Spearphishing attachment is different from other forms of spearphishing in that it employs the use of malware attache...,initial-access,"Linux, macOS, Windows",10,8,2,High-Priority,65.6,"APT38, Andariel, Cobalt Group, Lazarus Group, Malteiro, QakBot, Silence, TA505, TrickBot, Wizard Spider","APT38, Andariel, Cobalt Group, Lazarus Group, Malteiro, Silence, TA505, Wizard Spider","QakBot, TrickBot",False,,YES,Email with malicious attachments,"SMTP traffic with attachments, email headers"
T1106,Native API,"Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes.(Citation: NT API Windows)(Citation: Li...",execution,"Linux, macOS, Windows",8,4,4,High-Priority,65.4,"APT38, Carberp, Dridex, Lazarus Group, QakBot, Silence, TA505, TrickBot","APT38, Lazarus Group, Silence, TA505","Carberp, Dridex, QakBot, TrickBot",False,,NO,Native API calls are local operations,
T1518.001,Security Software Discovery,"Adversaries may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment. This may include things such as cloud monitoring agents and anti-virus. Adversaries may use the information from [Security Software Di...",discovery,"IaaS, Linux, macOS, Windows",6,4,2,High-Priority,64.8,"APT38, Carberp, Cobalt Group, Malteiro, QakBot, Wizard Spider","APT38, Cobalt Group, Malteiro, Wizard Spider","Carberp, QakBot",False,,NO,Local security software enumeration,
T1059.005,Visual Basic,Adversaries may abuse Visual Basic (VB) for execution. VB is a programming language created by Microsoft with interoperability with many Windows technologies such as [Component Object Model](https://attack.mitre.org/techniques/T1559/001) and the [Native API](https://attack.mitre.org/techniques/T1106...,execution,"Linux, macOS, Windows",7,6,1,High-Priority,64.4,"APT38, Cobalt Group, Lazarus Group, Malteiro, QakBot, Silence, TA505","APT38, Cobalt Group, Lazarus Group, Malteiro, Silence, TA505",QakBot,False,,NO,Visual Basic execution locally,
T1553.005,Mark-of-the-Web Bypass,"Adversaries may abuse specific file formats to subvert Mark-of-the-Web (MOTW) controls. In Windows, when files are downloaded from the Internet, they are tagged with a hidden NTFS Alternate Data Stream (ADS) named <code>Zone.Identifier</code> with a specific value known as the MOTW.(Citation: Micros...",defense-evasion,Windows,3,2,1,Medium,63.0,"APT38, QakBot, TA505","APT38, TA505",QakBot,False,,NO,MOTW bypass is local file attribute,
T1218.007,Msiexec,Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with executing installation packages (.msi).(Citation: Microsoft msiexec) The Msiexec.exe binary may also be digitally signed ...,defense-evasion,Windows,3,2,1,Medium,63.0,"APT38, QakBot, TA505","APT38, TA505",QakBot,False,,NO,Msiexec execution is local,
T1078,Valid Accounts,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used ...","defense-evasion, persistence, privilege-escalation, initial-access","Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",5,5,0,Common,62.8,"Carbanak, Indrik Spider, Lazarus Group, Silence, Wizard Spider","Carbanak, Indrik Spider, Lazarus Group, Silence, Wizard Spider",,False,,PARTIAL,Valid accounts used locally or remotely,"Successful auth from unusual locations, off-hours logins"
T1588.002,Tool,"Adversaries may buy, steal, or download software tools that can be used during targeting. Tools can be open or closed source, free or commercial. A tool can be used for malicious purposes by an adversary, but (unlike malware) were not intended to be used for those purposes (ex: [PsExec](https://atta...",resource-development,PRE,7,7,0,High-Priority,62.6,"APT38, Carbanak, Cobalt Group, Lazarus Group, Silence, TA505, Wizard Spider","APT38, Carbanak, Cobalt Group, Lazarus Group, Silence, TA505, Wizard Spider",,False,,NO,Tool acquisition during reconnaissance,
T1033,System Owner/User Discovery,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using [OS Credential Dumping](https://attack.mitre.org/techni...",discovery,"Linux, macOS, Network Devices, Windows",6,3,3,High-Priority,60.8,"APT38, Dyre, Lazarus Group, QakBot, TrickBot, Wizard Spider","APT38, Lazarus Group, Wizard Spider","Dyre, QakBot, TrickBot",False,,NO,Local user discovery commands,
T1027,Obfuscated Files or Information,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses. 

Payloads may be ...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",4,0,4,Common,60.0,"Carbanak, Dridex, QakBot, TrickBot",,"Carbanak, Dridex, QakBot, TrickBot",False,,NO,File obfuscation is local operation,
T1218.010,Regsvr32,"Adversaries may abuse Regsvr32.exe to proxy execution of malicious code. Regsvr32.exe is a command-line program used to register and unregister object linking and embedding controls, including dynamic link libraries (DLLs), on Windows systems. The Regsvr32.exe binary may also be signed by Microsoft....",defense-evasion,Windows,3,1,2,Medium,59.0,"Cobalt Group, Dridex, QakBot",Cobalt Group,"Dridex, QakBot",False,,NO,Regsvr32 local proxy execution,
T1564.001,Hidden Files and Directories,"Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file. These files don’t show up when a user browses the file system with a GUI or ...",defense-evasion,"Linux, Windows, macOS",3,1,2,Medium,59.0,"Carberp, Lazarus Group, QakBot",Lazarus Group,"Carberp, QakBot",False,,NO,Hidden files are local attributes,
T1218.005,Mshta,Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript through a trusted Windows utility. There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code (Citation: Cylance Dust Storm) (C...,defense-evasion,Windows,2,2,0,Medium,58.0,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,NO,Mshta local execution,
T1036.003,Rename Legitimate Utilities,"Adversaries may rename legitimate / system utilities to try to evade security mechanisms concerning the usage of those utilities. Security monitoring and control mechanisms may be in place for legitimate utilities adversaries are capable of abusing, including both built-in binaries and tools such as...",defense-evasion,"Linux, macOS, Windows",2,2,0,Medium,58.0,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,NO,Renaming utilities is local operation,
T1218.001,Compiled HTML File,"Adversaries may abuse Compiled HTML files (.chm) to conceal malicious code. CHM files are commonly distributed as part of the Microsoft HTML Help system. CHM files are compressed compilations of various content such as HTML documents, images, and scripting/web related programming languages such VBA,...",defense-evasion,Windows,2,2,0,Medium,58.0,"APT38, Silence","APT38, Silence",,False,,NO,CHM file execution locally,
T1070.006,Timestomp,"Adversaries may modify file time attributes to hide new files or changes to existing files. Timestomping is a technique that modifies the timestamps of a file (the modify, access, create, and change times), often to mimic files that are in the same folder and blend malicious files with legitimate fi...",defense-evasion,"ESXi, Linux, macOS, Windows",2,2,0,Medium,58.0,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,NO,Timestomping is local file modification,
T1070.001,Clear Windows Event Logs,"Adversaries may clear Windows Event Logs to hide the activity of an intrusion. Windows Event Logs are a record of a computer's alerts and notifications. There are three system-defined sources of events: System, Application, and Security, with five event types: Error, Warning, Information, Success Au...",defense-evasion,Windows,2,2,0,Medium,58.0,"APT38, Indrik Spider","APT38, Indrik Spider",,False,,NO,Clearing event logs locally,
T1021.001,Remote Desktop Protocol,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.

Remote desktop is a common feature in operating systems. It allows a user to log into an inte...",lateral-movement,Windows,6,5,1,High-Priority,56.8,"Carbanak, Cobalt Group, Indrik Spider, Lazarus Group, Silence, Wizard Spider","Cobalt Group, Indrik Spider, Lazarus Group, Silence, Wizard Spider",Carbanak,False,,YES,Remote desktop protocol connections,"RDP traffic on port 3389, encrypted session data"
T1018,Remote System Discovery,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating sys...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",5,3,2,Common,55.8,"Indrik Spider, QakBot, Silence, TrickBot, Wizard Spider","Indrik Spider, Silence, Wizard Spider","QakBot, TrickBot",False,,YES,Network scanning and enumeration commands,"ICMP, ARP, NetBIOS, LDAP queries for host discovery"
T1005,Data from Local System,"Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration.

Adversaries may do this using a [Command and Scripting Interpreter](https://attack.m...",collection,"ESXi, Linux, macOS, Network Devices, Windows",6,4,2,High-Priority,55.4,"APT38, Andariel, Lazarus Group, QakBot, TrickBot, Wizard Spider","APT38, Andariel, Lazarus Group, Wizard Spider","QakBot, TrickBot",False,,NO,Data collection from local filesystem,
T1016,System Network Configuration Discovery,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples inc...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",5,2,3,Common,51.8,"Dyre, Lazarus Group, QakBot, TrickBot, Wizard Spider","Lazarus Group, Wizard Spider","Dyre, QakBot, TrickBot",False,,PARTIAL,"Network config discovery, usually local","DHCP requests, ARP queries if network enumeration occurs"
T1566.002,Spearphishing Link,Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to victim systems. Spearphishing with a link is a specific variant of spearphishing. It is different from other forms of spearphishing in that it employs the use of links to download malware contained in ema...,initial-access,"Identity Provider, Linux, macOS, Office Suite, SaaS, Windows",6,4,2,High-Priority,51.6,"Cobalt Group, Lazarus Group, QakBot, TA505, TrickBot, Wizard Spider","Cobalt Group, Lazarus Group, TA505, Wizard Spider","QakBot, TrickBot",False,,YES,Email with malicious links,"SMTP traffic, HTTP redirects, DNS queries"
T1049,System Network Connections Discovery,"Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. 

An adversary who gains access to a system that is part of a cloud-based environment may map out Virtua...",discovery,"Windows, IaaS, Linux, macOS, Network Devices, ESXi",4,3,1,Common,50.8,"APT38, Andariel, Lazarus Group, QakBot","APT38, Andariel, Lazarus Group",QakBot,False,,PARTIAL,"Network connection enumeration, local or remote","NetBIOS, SMB queries if remote, none if local commands"
T1204.001,Malicious Link,An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. This user action will typically be observed as follow-on behavior from [Spearphishing Link](https://at...,execution,"Linux, macOS, Windows",5,4,1,Common,50.4,"APT38, Cobalt Group, QakBot, TA505, Wizard Spider","APT38, Cobalt Group, TA505, Wizard Spider",QakBot,False,,PARTIAL,Clicking malicious link triggers network,"HTTP requests to malicious URLs, redirects, downloads"
T1059.007,JavaScript,"Adversaries may abuse various implementations of JavaScript for execution. JavaScript (JS) is a platform-independent scripting language (compiled just-in-time at runtime) commonly associated with scripts in webpages, though JS can be executed in runtime environments outside the browser.(Citation: No...",execution,"Linux, macOS, Windows",5,4,1,Common,50.4,"Cobalt Group, Indrik Spider, QakBot, Silence, TA505","Cobalt Group, Indrik Spider, Silence, TA505",QakBot,False,,PARTIAL,"JavaScript execution, may fetch remote content",HTTP requests if script downloads additional payloads
T1620,Reflective Code Loading,"Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads. Reflective loading involves allocating then executing payloads directly within the memory of the process, vice creating a thread or process backed by a file path on disk (e.g., [Shared Modu...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Reflective code loading in memory,
T1202,Indirect Command Execution,"Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be used to execute commands, possibly without invoking [cmd](https://attack.mitre.org/software/S0106). For example, [Forfile...",defense-evasion,Windows,1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Indirect command execution locally,
T1036.006,Space after Filename,"Adversaries can hide a program's true filetype by changing the extension of a file. With certain file types (specifically this does not work with .app extensions), appending a space to the end of a filename will change how the file is processed by the operating system.

For example, if there is a Ma...",defense-evasion,"Linux, macOS",1,1,0,Rare,49.0,APT38,APT38,,False,,NO,Filename manipulation is local,
T1220,XSL Script Processing,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes sup...",defense-evasion,Windows,1,1,0,Rare,49.0,Cobalt Group,Cobalt Group,,False,,NO,XSL script processing locally,
T1027.003,Steganography,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.

[Duqu](https://attack.mitre.org/software/S0038) was an early example of...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49.0,Andariel,Andariel,,False,,NO,Steganography in local files,
T1027.007,Dynamic API Resolution,Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](https://attack.mitre.org/techniques/T1106) functions provided by the OS to perform various ...,defense-evasion,Windows,1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Dynamic API resolution in memory,
T1562.013,Disable or Modify Network Device Firewall,"Adversaries may disable network device-based firewall mechanisms entirely or add, delete, or modify particular rules in order to bypass controls limiting network usage. 
 
Modifying or disabling a network firewall may enable adversary C2 communications, lateral movement, and/or data exfiltration tha...",defense-evasion,Network Devices,1,1,0,Rare,49.0,APT38,APT38,,False,,PARTIAL,Network device firewall changes,"Changes visible in firewall logs, SNMP, config backups"
T1562.003,Impair Command History Logging,"Adversaries may impair command history logging to hide commands they run on a compromised system. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done. 

On Linux and macOS, command history is tracked in a file pointed to by...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",1,1,0,Rare,49.0,APT38,APT38,,False,,NO,Impairing command history locally,
T1070,Indicator Removal,Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or something that can be attributed to an adversary’s actions. Typically these artifacts are used as defensive indicators rela...,defense-evasion,"Containers, ESXi, Linux, macOS, Network Devices, Office Suite, Windows",1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Indicator removal from local system,
T1218.008,Odbcconf,Adversaries may abuse odbcconf.exe to proxy execution of malicious payloads. Odbcconf.exe is a Windows utility that allows you to configure Open Database Connectivity (ODBC) drivers and data source names.(Citation: Microsoft odbcconf.exe) The Odbcconf.exe binary may be digitally signed by Microsoft....,defense-evasion,Windows,1,1,0,Rare,49.0,Cobalt Group,Cobalt Group,,False,,NO,Odbcconf local execution,
T1218,System Binary Proxy Execution,"Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries. Binaries used in this technique are often Microsoft-signed files, indicating that they have been either downloaded from Microsoft or are already nati...",defense-evasion,"Windows, Linux, macOS",1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,System binary proxy execution locally,
